Source_folder,Source_file,Date,script,Segment,close_price,Data_Interval,Strategy,ALERT,screener,screener_side,user_actions,Target,Stoploss,Resistance,Support,Pivot_upper,Pivot_lower,Backtest_accuracy,Total_Instances,winrate_wrt_Nifty_position,False_Positive_Rate_(<1%),Signal_type,Max_Gain_Potential,Price_closeto,Signal_type,Parent_script
G:\My Drive\Project Equity\Intraday System_Prime\Model_outputs\Final_signals_Intraday_latestday.csv,final_signals,11/7/2025 10:00,ADANIENT,Equity,2337.899902,15 mins,Intraday,Intraday Model | price position: GAP-UP | Strong Uptrend | Neutral | No U-turn,GAP-UP | Strong Uptrend | Neutral | No U-turn,,"Long trades suitable if Nifty accuracy > 90%, backtest accuracy > 80%, and potential gains > 0.7%.",2361.278901,2315.199951,2325.175079,2314.524994,2344,2302.744,0.865454545,45,1,0.002142857,Buy,0.01,Resistance,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 11:00,ADANIENT,Equity,2385,15 mins,Intraday - Fast Alerts,Consolidation_breakdown_Bullish|15 mins,Volatility_Squeeze,Bullish,"Bullish plan • Wait for first wide-range breakout candle with RVOL_TOD>1.3, then enter.",2396.965201,2366.43,2390.03,2366.43,2396.965201,2383.082619,,,,,Buy,0.005016856,Resistance,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 12:33,ADANIENT,Equity,2372,2 mins,Intraday - Fast Alerts,U-turn_expect Bearish reversal|2 mins,,,,2382.795834,2368.100009,2376.5,2371.2,2382.795834,2368.100009,,,,,Sell,0.001644178,Support,Buy,
G:\My Drive\Project Equity\Shortterm system BTST\Model_outputs\Final_signals_shortterm_latestday.csv,short_model,11/13/2025 0:00,ADANIENT,Equity,2488.199951,1D,Shortterm,Shortterm Buy | M2,Shortterm Multilayered Model | Buy,,Moderate Buy. Consider holding for 1–3 weeks based on target and stop-loss levels.,2517.655569,2488.199951,2467.977569,2307.155569,,,0.642857143,42,0.936170213,0.019047619,Buy,0.011838123,Resistance,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Model_outputs\Final_signals_Intraday_latestday.csv,final_signals,11/7/2025 10:45,ADANIGREEN,Equity,1050,15 mins,Intraday,Intraday Model | price position: Others | No U-turn,Others | No U-turn,,"Trade in the signal direction. Enter only when momentum or reversal confirmation appears. Stronger backtest accuracy, Nifty alignment, and higher potential gains improve confidence.",1060.5,1042.599976,1056.074997,1043.274994,1050.247936,1038.518747,0.836956522,185,0.897435897,0.010699001,Sell,0.010934526,in-between,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:27,ADANIGREEN,Equity,1078,2 mins,Intraday - Fast Alerts,U-turn_expect Bearish reversal|2 mins,Volatility_Squeeze,,"Wait for first wide-range breakout candle with volume surge, then enter.",1091.47,1075.974615,1091.47,1080.38,1083.173032,1075.974615,,,,,Sell,0.001878836,Support,Sell,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 11:41,ADANIGREEN,Equity,1068.800049,2 mins,Intraday - Fast Alerts,U-turn_expect Bullish reversal|2 mins,,,,1070.4,1062.830434,1070.4,1068.37,1070.117394,1062.830434,,,,,Buy,0.00149696,Support,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Model_outputs\Final_signals_Intraday_latestday.csv,final_signals,11/7/2025 14:45,ADANIPORTS,Equity,1452.800049,15 mins,Intraday,Intraday Model | price position: Others | No U-turn,Others | No U-turn,,"Trade in the signal direction. Enter only when momentum or reversal confirmation appears. Stronger backtest accuracy, Nifty alignment, and higher potential gains improve confidence.",1467.328049,1452.800049,1455.41246,1452.737518,1458.019183,1445.833374,0.89453125,81,0.866666667,0.005380477,Buy,0.01,Support,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 9:21,ADANIPORTS,Equity,1449.800049,2 mins,Intraday - Fast Alerts,Waterfall_Bullish|2 mins,,,,1453.652383,1447.214293,1452.8,1447.4,1453.652383,1447.214293,,,,,Buy,0.002657148,in-between,Buy,
G:\My Drive\Project Equity\Intraday System_Prime\Realtime_Alerts_Interim\REALTIME_ALERTS_ONLY.csv,realtime,11/10/2025 13:45,ADANIPORTS,Equity,1447.400024,15 mins,Intraday - Fast Alerts,Consolidation_breakdown_Bearish|15 mins,Volatility_Squeeze,,"Wait for first wide-range breakout candle with RVOL_TOD>1.3, then enter.",1452.7,1441.922673,1452.7,1450.92,1447.749339,1441.922673,,,,,Sell,0.00378427,Support,Buy,
G:\My Drive\Project Equity\Shortterm system BTST\Model_outputs\Final_signals_shortterm_latestday.csv,short_model,11/13/2025 0:00,AFFORDABLE,Equity,232,1D,Shortterm,Shortterm Buy | M2,Shortterm Multilayered Model | Buy,,Moderate Buy. Consider holding for 1–3 weeks based on target and stop-loss levels.,240.9333293,232,254.8763293,226.9903293,,,0.875,65,0.915789474,0.064102564,Buy,0.098604868,Support,Buy,
G:\My Drive\Project Equity\Shortterm system BTST\Model_outputs\Final_signals_shortterm_latestday.csv,short_model,11/13/2025 0:00,AGIIL,Equity,255.8999939,1D,Shortterm,Shortterm Buy | M2,Shortterm Multilayered Model | Buy,,Moderate Buy. Consider holding for 1–3 weeks based on target and stop-loss levels.,258.7950344,255.8999939,272.2983614,261.3349801,,,0.80952381,91,0.964285714,0.029411765,Buy,0.064081156,Support,Sell,
G:\My Drive\Project Equity\Shortterm system BTST\Output_files\Quick_Action_dashboard_V3.csv,quickaction,11/13/2025 0:00,ALEMBICLTD,Equity,100.6500015,1D,Shortterm,Shortterm Buy | M1,Shortterm Model | Buy,Buy,Ideal for BTST trades; Exit if you see 1.5% or more profit next day.,102.3889064,100,,,,,0.989279113,2705,,,Buy,0.01727675,in-between,Buy,
