Date,open_price,high_price,low_price,close_price,vol,script,Resistance,Support,pivot_upper,pivot_lower,screener,screener_side,screener_implications,user_actions,next_10_high,next_10_low,win_buy,win_sell,Alert_Uturn,Alert_Consolidation_Breakout,Waterfall_pattern_alert,Trap_Alert_POSITION,pattern_identifier_trendbreak,data_interval,Alert_details,Price_Closer_Support,Price_Closer_Resistance
2025-11-17 09:15:00+05:30,3106.0,3123.5,3091.9,3100.2,151500,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:30:00+05:30,3100.9,3105.0,3094.0,3095.2,78938,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:45:00+05:30,3094.7,3099.0,3089.1,3094.2,82829,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:00:00+05:30,3094.2,3098.0,3089.4,3097.9,121061,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:15:00+05:30,3097.9,3101.1,3086.6,3088.8,205968,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:30:00+05:30,3089.9,3094.6,3088.2,3092.0,82185,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:45:00+05:30,3092.8,3093.0,3088.0,3091.9,35037,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 11:00:00+05:30,3090.8,3096.0,3090.1,3095.0,79720,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 11:15:00+05:30,3095.0,3097.3,3092.5,3093.7,81459,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 11:30:00+05:30,3093.7,3096.6,3093.0,3096.0,58145,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 11:45:00+05:30,3096.0,3103.7,3094.0,3101.1,86124,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 12:00:00+05:30,3101.1,3107.0,3096.0,3103.0,63988,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 12:15:00+05:30,3103.0,3103.1,3100.0,3100.0,37243,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 12:30:00+05:30,3100.0,3107.5,3098.0,3106.3,54599,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 12:45:00+05:30,3106.7,3107.1,3101.2,3105.0,56067,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 13:00:00+05:30,3105.0,3105.6,3101.2,3103.7,59757,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 13:15:00+05:30,3103.7,3105.6,3103.0,3105.6,68748,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 13:30:00+05:30,3105.6,3108.3,3103.2,3105.9,92211,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 13:45:00+05:30,3105.8,3107.9,3104.3,3107.0,47920,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 14:00:00+05:30,3107.0,3112.0,3106.1,3107.0,65629,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 14:15:00+05:30,3105.8,3110.0,3102.3,3103.6,123990,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 14:30:00+05:30,3103.6,3109.0,3101.9,3103.0,74439,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 14:45:00+05:30,3103.0,3105.2,3101.2,3103.2,86802,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 15:00:00+05:30,3103.3,3108.0,3102.2,3105.0,119187,TCS,,,,,,,,,,,,,,,,,,,,,
