Date,open_price,high_price,low_price,close_price,vol,script,Resistance,Support,pivot_upper,pivot_lower,screener,screener_side,screener_implications,user_actions,next_10_high,next_10_low,win_buy,win_sell,Alert_Uturn,Alert_Consolidation_Breakout,Waterfall_pattern_alert,Trap_Alert_POSITION,pattern_identifier_trendbreak,data_interval,Alert_details,Price_Closer_Support,Price_Closer_Resistance
2025-11-17 09:15:00+05:30,3106.0,3123.5,3098.0,3103.4,33565,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:17:00+05:30,3101.8,3107.0,3098.1,3103.9,15644,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:19:00+05:30,3103.5,3103.9,3100.1,3103.3,14869,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:21:00+05:30,3102.8,3104.0,3098.1,3098.1,32547,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:23:00+05:30,3098.3,3102.2,3091.9,3092.0,32090,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:25:00+05:30,3093.3,3101.9,3092.7,3101.9,10110,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:27:00+05:30,3102.0,3102.1,3099.1,3100.4,9582,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:29:00+05:30,3101.9,3105.0,3100.0,3102.3,14104,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:31:00+05:30,3103.5,3103.5,3101.3,3102.0,8630,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:33:00+05:30,3102.1,3103.9,3101.0,3101.0,16308,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:35:00+05:30,3100.9,3101.0,3097.6,3098.7,10834,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:37:00+05:30,3098.8,3100.3,3097.0,3098.6,8768,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:39:00+05:30,3098.0,3098.8,3096.0,3096.6,8989,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:41:00+05:30,3096.6,3098.6,3095.2,3096.0,5987,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:43:00+05:30,3095.1,3096.3,3094.0,3095.2,8411,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:45:00+05:30,3094.7,3095.7,3093.0,3093.0,6757,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:47:00+05:30,3093.9,3094.3,3089.1,3090.4,26357,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:49:00+05:30,3091.0,3095.7,3090.5,3095.6,10296,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:51:00+05:30,3093.9,3096.1,3092.8,3095.4,13606,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:53:00+05:30,3094.8,3097.5,3094.1,3095.5,8500,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:55:00+05:30,3095.5,3095.5,3093.1,3095.5,4482,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:57:00+05:30,3095.5,3099.0,3093.6,3095.9,6278,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 09:59:00+05:30,3095.9,3096.2,3092.2,3092.2,11621,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:01:00+05:30,3092.2,3093.0,3090.5,3090.9,10971,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:03:00+05:30,3090.9,3091.4,3089.4,3090.0,21568,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:05:00+05:30,3090.0,3095.4,3089.8,3091.2,11111,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:07:00+05:30,3091.2,3092.2,3090.0,3090.1,8824,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:09:00+05:30,3090.1,3096.0,3090.1,3095.7,52641,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:11:00+05:30,3095.7,3097.5,3095.0,3097.5,3114,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:13:00+05:30,3096.1,3098.0,3096.1,3097.9,7764,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:15:00+05:30,3097.9,3101.1,3097.9,3099.4,17584,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:17:00+05:30,3099.0,3100.7,3098.0,3098.0,13836,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:19:00+05:30,3097.9,3098.0,3096.5,3097.0,11133,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:21:00+05:30,3096.5,3097.0,3094.8,3095.0,6522,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:23:00+05:30,3095.0,3096.3,3092.1,3092.5,55620,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:25:00+05:30,3092.5,3093.9,3089.5,3093.0,74220,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:27:00+05:30,3093.0,3094.2,3088.1,3088.1,21307,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:29:00+05:30,3088.1,3090.8,3086.6,3090.8,8496,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:31:00+05:30,3090.8,3091.7,3089.0,3091.4,6475,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:33:00+05:30,3091.4,3091.7,3090.0,3091.5,13744,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:35:00+05:30,3090.4,3091.3,3088.2,3088.9,8522,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:37:00+05:30,3088.9,3094.6,3088.6,3091.0,28283,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:39:00+05:30,3091.0,3091.6,3089.7,3090.0,4703,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:41:00+05:30,3089.0,3091.7,3088.2,3091.4,13028,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:43:00+05:30,3091.4,3093.0,3090.4,3092.0,4680,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:45:00+05:30,3092.8,3092.8,3091.1,3092.3,5706,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:47:00+05:30,3092.3,3093.0,3090.5,3091.6,6510,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:49:00+05:30,3091.6,3091.7,3088.9,3090.0,4133,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:51:00+05:30,3089.9,3090.1,3088.0,3089.0,4580,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:53:00+05:30,3089.0,3090.0,3088.5,3089.2,3738,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:55:00+05:30,3090.0,3092.0,3089.2,3092.0,5045,TCS,,,,,,,,,,,,,,,,,,,,,
2025-11-17 10:57:00+05:30,3092.0,3092.0,3090.8,3090.8,4129,TCS,,,,,,,,,,,,,,,,,,,,,
