Date,open_price,high_price,low_price,close_price,vol,script,Resistance,Support,pivot_upper,pivot_lower,screener,screener_side,screener_implications,user_actions,next_10_high,next_10_low,win_buy,win_sell,Alert_Uturn,Trap_Alert_POSITION,pattern_identifier_trendbreak,data_interval,Alert_details,Price_Closer_Support,Price_Closer_Resistance
2025-11-21 09:15:00+05:30,1541.0,1544.5,1540.1,1543.7,214819,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:17:00+05:30,1543.2,1548.7,1543.1,1547.6,152998,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:19:00+05:30,1548.0,1548.0,1545.1,1547.7,120390,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:21:00+05:30,1547.3,1553.7,1547.3,1553.0,156326,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:23:00+05:30,1553.2,1554.5,1551.5,1553.5,201233,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:25:00+05:30,1553.5,1556.4,1553.0,1555.4,192924,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:27:00+05:30,1555.6,1555.9,1554.0,1554.9,119751,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:29:00+05:30,1554.9,1557.7,1554.1,1556.9,163626,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:31:00+05:30,1556.9,1557.5,1556.4,1557.0,101451,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:33:00+05:30,1557.0,1557.8,1554.5,1554.6,154288,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:35:00+05:30,1554.6,1555.0,1552.0,1552.2,96877,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:37:00+05:30,1552.2,1552.9,1551.2,1552.9,66093,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:39:00+05:30,1553.2,1553.2,1551.8,1552.9,52604,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:41:00+05:30,1552.9,1552.9,1551.0,1551.4,49529,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:43:00+05:30,1551.0,1552.0,1550.5,1550.8,44093,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:45:00+05:30,1550.8,1552.4,1550.0,1550.6,118317,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:47:00+05:30,1550.6,1550.8,1550.0,1550.0,34083,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:49:00+05:30,1550.0,1550.5,1549.5,1550.0,69797,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:51:00+05:30,1550.0,1551.4,1550.0,1550.1,44083,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:53:00+05:30,1550.0,1550.2,1548.0,1548.3,51088,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:55:00+05:30,1548.2,1548.9,1547.1,1548.8,98843,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:57:00+05:30,1548.4,1550.0,1548.4,1549.8,24806,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 09:59:00+05:30,1549.9,1551.1,1549.8,1550.0,46239,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:01:00+05:30,1550.2,1550.7,1548.7,1548.9,52979,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:03:00+05:30,1548.9,1549.8,1548.6,1549.5,53628,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:05:00+05:30,1549.8,1550.0,1549.4,1549.8,39347,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:07:00+05:30,1549.8,1550.1,1548.1,1548.1,64408,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:09:00+05:30,1548.1,1548.3,1547.2,1547.9,35420,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:11:00+05:30,1547.9,1549.4,1547.9,1548.7,60770,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:13:00+05:30,1549.0,1549.9,1548.5,1548.8,34930,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:15:00+05:30,1548.8,1548.9,1548.5,1548.6,15146,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:17:00+05:30,1548.6,1548.6,1546.1,1546.5,38579,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:19:00+05:30,1546.4,1547.0,1546.1,1546.7,58580,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:21:00+05:30,1546.2,1547.4,1546.0,1546.9,31307,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:23:00+05:30,1546.9,1548.0,1546.5,1548.0,22259,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:25:00+05:30,1548.0,1548.5,1546.2,1546.3,26353,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:27:00+05:30,1546.3,1546.5,1546.1,1546.3,16021,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:29:00+05:30,1546.2,1546.3,1545.7,1545.7,25278,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:31:00+05:30,1545.6,1546.9,1545.6,1546.9,37039,RELIANCE,,,,,,,,,,,,,,,,,,,
